created_at,entry_id,field1,field2,field3,field4
2023-06-01 00:00:00,1,1.121,0.095,0.997,29.43
2023-06-01 00:00:15,2,1.128,0.051,1.114,29.55
2023-06-01 00:00:30,3,1.123,0.09,1.19,29.76
2023-06-01 00:00:45,4,1.119,0.116,1.137,29.67
2023-06-01 00:01:00,5,1.103,0.08,1.105,29.54
2023-06-01 00:01:15,6,1.109,0.066,1.107,29.64
2023-06-01 00:01:30,7,1.124,0.085,1.164,29.51
2023-06-01 00:01:45,8,1.137,0.086,1.232,29.71
2023-06-01 00:02:00,9,1.12,0.093,1.049,29.38
2023-06-01 00:02:15,10,1.117,0.075,1.131,29.27
2023-06-01 00:02:30,11,1.115,0.105,1.22,29.43
2023-06-01 00:02:45,12,1.122,0.09,1.147,29.48
2023-06-01 00:03:00,13,1.102,0.102,1.056,29.7
2023-06-01 00:03:15,14,1.128,0.093,1.163,29.41
2023-06-01 00:03:30,15,1.111,0.087,1.096,29.51
2023-06-01 00:03:45,16,1.129,0.09,1.1,29.66
2023-06-01 00:04:00,17,1.109,0.116,1.153,29.73
2023-06-01 00:04:15,18,1.123,0.105,1.155,29.65
2023-06-01 00:04:30,19,1.131,0.093,1.143,29.64
2023-06-01 00:04:45,20,1.122,0.087,1.165,29.59
2023-06-01 00:05:00,21,1.12,0.085,1.028,29.34
2023-06-01 00:05:15,22,1.094,0.095,1.081,29.69
2023-06-01 00:05:30,23,1.125,0.089,1.023,29.78
2023-06-01 00:05:45,24,1.099,0.086,1.175,29.66
2023-06-01 00:06:00,25,1.126,0.101,1.253,29.87
2023-06-01 00:06:15,26,1.128,0.106,1.167,29.58
2023-06-01 00:06:30,27,1.116,0.051,1.163,29.74
2023-06-01 00:06:45,28,1.128,0.094,1.183,29.46
2023-06-01 00:07:00,29,1.124,0.127,1.05,29.79
2023-06-01 00:07:15,30,1.117,0.114,1.086,29.61
2023-06-01 00:07:30,31,1.121,0.044,1.075,29.55
2023-06-01 00:07:45,32,1.114,0.082,1.105,29.59
2023-06-01 00:08:00,33,1.121,0.067,1.036,29.43
2023-06-01 00:08:15,34,1.129,0.092,1.015,29.59
2023-06-01 00:08:30,35,1.113,0.069,1.158,29.5
2023-06-01 00:08:45,36,1.133,0.067,1.081,29.82
2023-06-01 00:09:00,37,1.136,0.108,1.088,29.45
2023-06-01 00:09:15,38,1.125,0.123,1.093,29.52
2023-06-01 00:09:30,39,1.134,0.062,1.182,29.75
2023-06-01 00:09:45,40,1.141,0.099,1.041,29.37
2023-06-01 00:10:00,41,1.135,0.106,1.065,29.33
2023-06-01 00:10:15,42,1.105,0.074,1.143,29.57
2023-06-01 00:10:30,43,1.111,0.106,1.083,29.46
2023-06-01 00:10:45,44,1.095,0.087,1.079,29.48
2023-06-01 00:11:00,45,1.121,0.075,1.118,29.68
2023-06-01 00:11:15,46,1.12,0.132,1.244,29.46
2023-06-01 00:11:30,47,1.129,0.125,1.213,29.54
2023-06-01 00:11:45,48,1.119,0.058,1.163,29.46
2023-06-01 00:12:00,49,1.126,0.045,1.147,29.46
2023-06-01 00:12:15,50,1.112,0.117,1.217,29.32
2023-06-01 00:12:30,51,1.116,0.054,1.236,29.66
2023-06-01 00:12:45,52,1.114,0.086,1.168,29.29
2023-06-01 00:13:00,53,1.124,0.116,1.139,29.5
2023-06-01 00:13:15,54,1.12,0.052,1.106,29.53
2023-06-01 00:13:30,55,1.118,0.08,1.218,29.24
2023-06-01 00:13:45,56,1.112,0.069,1.079,29.61
2023-06-01 00:14:00,57,1.118,0.113,1.129,29.68
2023-06-01 00:14:15,58,1.135,0.121,1.137,29.21
2023-06-01 00:14:30,59,1.111,0.146,1.245,29.57
2023-06-01 00:14:45,60,1.128,0.051,1.087,29.38
2023-06-01 00:15:00,61,1.147,0.108,1.083,29.65
2023-06-01 00:15:15,62,1.13,0.094,1.155,29.66
2023-06-01 00:15:30,63,1.126,0.067,1.048,29.42
2023-06-01 00:15:45,64,1.124,0.101,1.084,29.31
2023-06-01 00:16:00,65,1.087,0.092,1.071,29.57
